Key,English,Translation (EN_GB)
menu.about;about;about
menu.locale;EN;EN
button.tellmemore;Read more;Read more
button.OptMeOut;next;next
button.readmore.less;less;less
button.readmore.more;more;more
button.back;back;back
button.send;Send it;Send it
button.finish;Download PDF;Download PDF
